NPV_a,NPV_b,PreyDeficit,PredatorDeficit,NPV_a and Prey Def.,NPV_b and Predator Def.,NPV_a and NPV_b,All criteria
0.0,18.4,60.0,46.2,0.0,18.4,0.0,0.0
15.4,0.6,51.800000000000004,28.799999999999997,14.000000000000002,0.6,0.0,0.0
0.6,0.0,56.39999999999999,44.0,0.6,0.0,0.0,0.0
0.0,100.0,66.0,13.600000000000001,0.0,13.600000000000001,0.0,0.0
0.0,1.0,62.4,52.6,0.0,1.0,0.0,0.0
0.0,0.0,59.8,47.0,0.0,0.0,0.0,0.0
36.8,65.0,46.2,8.6,17.0,8.6,27.0,0.0
2.6,0.0,55.00000000000001,36.4,2.6,0.0,0.0,0.0
0.0,100.0,66.2,16.0,0.0,16.0,0.0,0.0
0.0,47.599999999999994,60.8,43.8,0.0,39.6,0.0,0.0
13.8,0.0,52.0,37.4,12.8,0.0,0.0,0.0
93.2,100.0,19.2,0.0,19.2,0.0,93.2,0.0
45.800000000000004,100.0,48.0,7.8,27.400000000000002,7.8,45.800000000000004,0.0
48.8,52.2,43.4,7.3999999999999995,25.8,7.3999999999999995,22.8,0.0
0.0,100.0,60.4,14.6,0.0,14.6,0.0,0.0
0.0,42.4,60.0,41.6,0.0,37.0,0.0,0.0
0.0,0.0,62.0,57.199999999999996,0.0,0.0,0.0,0.0
33.800000000000004,100.0,48.8,8.4,16.8,8.4,33.800000000000004,0.0
70.8,100.0,41.4,0.4,26.400000000000002,0.4,70.8,0.0
22.6,100.0,51.6,7.199999999999999,6.0,7.199999999999999,22.6,0.0
0.0,100.0,62.4,10.6,0.0,10.6,0.0,0.0
22.0,0.0,51.0,35.199999999999996,19.6,0.0,0.0,0.0
16.2,0.0,51.4,34.8,14.799999999999999,0.0,0.0,0.0
92.0,100.0,20.200000000000003,1.2,20.200000000000003,1.2,92.0,0.0
0.0,37.6,60.0,44.0,0.0,34.8,0.0,0.0
88.0,100.0,17.2,0.4,17.2,0.4,88.0,0.0
48.6,100.0,44.800000000000004,1.6,13.0,1.6,48.6,0.0
74.6,100.0,33.0,2.4,29.799999999999997,2.4,74.6,0.0
21.6,0.0,51.4,34.0,19.8,0.0,0.0,0.0
94.6,100.0,0.0,0.0,0.0,0.0,94.6,0.0
0.8,52.0,57.8,22.6,0.8,22.6,0.8,0.8
1.6,0.0,55.800000000000004,40.6,1.6,0.0,0.0,0.0
8.4,0.0,52.400000000000006,38.0,7.3999999999999995,0.0,0.0,0.0
0.0,8.200000000000001,59.199999999999996,41.199999999999996,0.0,8.200000000000001,0.0,0.0
0.0,100.0,59.0,10.6,0.0,10.6,0.0,0.0
7.3999999999999995,0.0,54.6,40.0,7.3999999999999995,0.0,0.0,0.0
0.0,100.0,61.0,14.399999999999999,0.0,14.399999999999999,0.0,0.0
2.6,100.0,56.99999999999999,9.4,0.6,9.4,2.6,0.0
87.6,92.80000000000001,24.2,0.4,22.8,0.4,81.39999999999999,0.0
33.0,0.0,49.2,22.6,25.0,0.0,0.0,0.0
0.0,100.0,66.0,13.0,0.0,13.0,0.0,0.0
14.6,56.2,53.800000000000004,15.4,12.2,15.4,6.0,0.2
0.0,35.0,60.0,41.8,0.0,32.0,0.0,0.0
26.200000000000003,0.0,50.0,31.6,22.2,0.0,0.0,0.0
15.6,0.0,51.4,34.4,14.2,0.0,0.0,0.0
0.0,0.0,62.0,56.39999999999999,0.0,0.0,0.0,0.0
17.599999999999998,0.0,51.6,37.6,16.400000000000002,0.0,0.0,0.0
61.4,100.0,46.2,5.4,31.2,5.4,61.4,0.0
0.0,0.0,62.2,54.0,0.0,0.0,0.0,0.0
0.0,0.0,57.199999999999996,41.8,0.0,0.0,0.0,0.0
64.60000000000001,0.4,41.8,8.6,32.6,0.0,0.0,0.0
7.8,9.0,52.800000000000004,25.2,6.6000000000000005,6.2,0.6,0.0
84.2,100.0,28.199999999999996,1.4000000000000001,27.400000000000002,1.4000000000000001,84.2,0.0
66.0,0.4,42.0,8.6,33.0,0.0,0.4,0.0
48.199999999999996,0.0,47.599999999999994,15.4,26.6,0.0,0.0,0.0
40.400000000000006,100.0,49.8,8.6,24.0,8.6,40.400000000000006,0.0
12.8,0.0,52.0,39.2,11.799999999999999,0.0,0.0,0.0
18.6,0.0,51.4,37.6,17.2,0.0,0.0,0.0
19.400000000000002,0.0,51.2,32.0,17.599999999999998,0.0,0.0,0.0
3.4000000000000004,0.0,54.800000000000004,39.0,3.4000000000000004,0.0,0.0,0.0
0.0,51.0,60.4,35.4,0.0,35.0,0.0,0.0
29.4,0.0,50.6,30.2,25.2,0.0,0.0,0.0
14.799999999999999,100.0,53.0,9.6,7.199999999999999,9.6,14.799999999999999,0.0
36.0,0.0,48.6,21.2,27.0,0.0,0.0,0.0
23.200000000000003,0.0,51.2,32.800000000000004,20.599999999999998,0.0,0.0,0.0
0.0,0.0,62.2,57.4,0.0,0.0,0.0,0.0
0.0,100.0,63.0,10.6,0.0,10.6,0.0,0.0
0.0,0.0,58.8,49.4,0.0,0.0,0.0,0.0
2.0,61.0,54.800000000000004,15.6,0.2,15.6,2.0,0.0
95.6,100.0,3.5999999999999996,0.0,3.5999999999999996,0.0,95.6,0.0
0.0,58.4,65.60000000000001,32.2,0.0,32.2,0.0,0.0
0.0,0.0,58.4,46.400000000000006,0.0,0.0,0.0,0.0
10.2,0.0,52.400000000000006,34.2,8.799999999999999,0.0,0.0,0.0
53.400000000000006,54.800000000000004,43.8,10.2,31.6,10.2,22.0,0.0
52.0,100.0,48.0,6.6000000000000005,28.000000000000004,6.6000000000000005,52.0,0.0
40.400000000000006,0.2,49.0,17.8,29.599999999999998,0.0,0.0,0.0
1.0,0.0,56.00000000000001,44.0,1.0,0.0,0.0,0.0
32.2,0.0,49.8,27.200000000000003,25.0,0.0,0.0,0.0
10.0,0.0,52.400000000000006,36.0,8.799999999999999,0.0,0.0,0.0
